"","age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
"56374",37,"fit",NA,"socially","never","graduated from masters program","asian",66.04,NA,"other",2012-06-18 22:11:00,"palo alto, california",NA,"straight","likes dogs and likes cats","agnosticism and very serious about it","f","virgo and it's fun to think about","no","english (fluently)","single","i'm creative and versatile and enjoy being exposed to and learning new things. i'd rather be challenged than coast although i do swing towar"
"24883",29,NA,"anything",NA,NA,"graduated from masters program",NA,65.17,NA,NA,2012-06-21 23:24:00,"san francisco, california",NA,"straight",NA,NA,"f",NA,"no","english (fluently), french","single","i'm an east coaster moved west after stints in brooklyn, paris, ohio. used to dream of being a tight-rope walker but currently side-lined to"
"55828",30,NA,NA,"socially","never","working on med school","white",69.97,NA,"student",2012-06-30 21:42:00,"redwood city, california",NA,"straight","likes dogs and likes cats",NA,"f","scorpio","no","english","single","summarize myself? that's just crazy talk. ok, here goes. i've got a lively, spirited, playful personality with a dry, dare-i-say cheerfully "
"3636",27,"curvy",NA,"socially",NA,"graduated from college/university","white",61.93,NA,"medicine / health",2012-06-24 12:05:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"f",NA,"no","english","single","i have lived in the bay area for just over two years and can't imagine living anywhere else!    i work in health care, but i spend most of m"
"53663",28,"thin",NA,"socially",NA,"graduated from college/university",NA,64.91,NA,"medicine / health",2012-06-28 11:49:00,"san francisco, california",NA,"straight",NA,NA,"f","pisces",NA,"english, spanish (fluently)","single","native to the bay. a nurse. i love being super active, and anything outdoors. if there's a body of water around, i'll most likely dive in. i"
"1731",24,"fit","mostly vegan","rarely","never","graduated from masters program","black, hispanic / latin, white",62.96,NA,"education / academia",2012-06-07 03:49:00,"san francisco, california",NA,"straight",NA,NA,"f",NA,"no","english","single","i savor experience"
"2856",28,"fit",NA,"socially","never","graduated from high school","black",62.12,NA,"medicine / health",2012-05-07 09:53:00,"san francisco, california","has a kid, and wants more","straight",NA,"christianity and somewhat serious about it","f","leo and it's fun to think about","yes","english","single","im a 28 year old attractive single female who loves jus to be around freinds and family...i dont go out to clubs much because ive had my fai"
"45314",32,"fit","strictly anything","often","sometimes","graduated from college/university","white",66.18,NA,"artistic / musical / writer",2012-06-29 22:33:00,"san francisco, california",NA,"straight","likes dogs and likes cats","agnosticism and very serious about it","f","cancer and it's fun to think about","no","english (fluently), french (okay)","single","i find fulfillment through a variety of things- travel, friends, and learning. i really, really like mexican food.    i just moved to sf fro"
"52737",32,"curvy",NA,"rarely","never","graduated from law school","white",66.89,NA,"law / legal services",2012-02-26 17:46:00,"oakland, california",NA,"straight","likes dogs and likes cats","judaism","f","aries","no","english, spanish","single","so here i am, flowing along in my life -- counting my blessings, feeling my feelings, loving my friends and family and work and planet, danc"
"26164",25,"average","vegetarian","rarely",NA,NA,"white",66.19,NA,NA,2012-06-18 19:55:00,"san francisco, california",NA,"gay","likes dogs and dislikes cats","atheism","f","scorpio and it's fun to think about","no","english","seeing someone","i like to put on a jackie wilson record, slide on my wingtips, and pick out a hat for the day...call me old fashioned. i much rather have so"
"5173",21,"fit","anything","often","sometimes","two-year college","asian, white",62.13,NA,"sales / marketing / biz dev",2012-06-12 14:41:00,"redwood city, california",NA,"gay","has dogs and has cats",NA,"f","sagittarius and it's fun to think about","yes","english (fluently), chinese (okay)","single","names jamie, 21 years old living in an apartment with my bestfriend. work full time as a 2nd assistant manager at zumiez. i just got my lice"
"949",25,"thin","mostly anything","socially","never","graduated from college/university","asian",65.89,NA,NA,2012-04-26 17:05:00,"berkeley, california","doesn't want kids","straight","likes dogs and likes cats","atheism","f","sagittarius","no","english (fluently), korean (okay), spanish (poorly)","single",NA
"10107",47,"average",NA,"socially","never","two-year college","hispanic / latin",68.19,NA,"other",2011-10-21 20:34:00,"palo alto, california","has kids","straight","has dogs","other","f","taurus but it doesn't matter","no","english (poorly), spanish (fluently)","single",NA
"34931",26,"curvy","mostly vegetarian",NA,NA,"working on ph.d program","black",65.01,NA,"medicine / health",2012-06-30 23:00:00,"san francisco, california",NA,"straight",NA,"other","f","capricorn but it doesn't matter",NA,"english, portuguese (fluently), korean (poorly), spanish (okay)","single","it's important to me to build community, to stay spiritually balanced, to create something every day, and to love honestly.    i like to mak"
"26739",22,"curvy",NA,"often",NA,"graduated from college/university","white",67.86,NA,"science / tech / engineering",2012-06-14 22:56:00,"san francisco, california",NA,"straight",NA,"atheism","f",NA,"no","english","single","finished engineering undergrad recently, and i'm trying to figure out this whole 'functional adult' thing, with varying degrees of success. "
"33600",25,"full figured",NA,"often","sometimes","working on space camp","black",67.14,NA,"student",2012-06-18 16:14:00,"san francisco, california",NA,"straight","likes dogs","other","f","libra and it's fun to think about","yes","english","single","lets see...  i like to just hang out, relax at home or just go to a bar with friends and have a good time. i'm convinced that the zombie apo"
"45104",29,"thin","anything","socially","never","graduated from masters program","asian",64.16,NA,"other",2012-07-01 03:03:00,"san francisco, california","doesn't have kids","straight",NA,NA,"f","sagittarius","no","english, japanese","single","happy, relaxed, loving person who enjoys great company and good people! :)"
"20745",28,NA,NA,"socially",NA,"working on masters program","white",65.88,NA,"student",2012-05-03 23:09:00,"berkeley, california",NA,"bisexual","likes cats","agnosticism and somewhat serious about it","f","aries and it's fun to think about","no","english (fluently)","seeing someone","so it seems there has been some confusion. i'm in relationship (as stated at the top of my profile) and quite happy in it. i'm looking for n"
"14210",24,"curvy",NA,"socially",NA,"graduated from college/university","asian, pacific islander",62.98,NA,NA,2012-06-29 23:32:00,"san francisco, california",NA,"straight",NA,"catholicism","f","aries","no","english (fluently), tagalog (fluently), spanish (okay)","single","i'm a fun and outgoing filipina. i would like to think of myself as a pretty laidback and understanding person. i'm an optimist and would li"
"2114",32,"fit","mostly anything","socially","never","graduated from college/university","white",63.91,NA,"other",2012-06-29 23:21:00,"berkeley, california","doesn't have kids, but might want them","straight","likes dogs and dislikes cats","atheism","f","scorpio and it's fun to think about","no","english","single","i moved to the bay area two years. i lived in seattle for way too long. i have lots of sisters and one brother. i enjoy cooking and going ou"
"52304",35,"athletic","mostly anything","socially",NA,"graduated from college/university","white",66.95,NA,"medicine / health",2012-06-25 17:38:00,"san francisco, california","doesn't have kids, but wants them","straight","has dogs",NA,"f","capricorn and it's fun to think about","no","english (fluently), sign language (okay), french (poorly)","single","to sum it up: i am an athlete, a teacher, a healer, and a lover. i can be quirky, funny, compassionate, sexy and serious. i am a hang glidin"
"49153",24,NA,"anything","socially","never",NA,"asian",62.91,NA,"medicine / health",2012-07-01 00:37:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","sagittarius","no","english","single","i'm from the oc; i have no hand-eye coordination; i appreciate wit and humor; i heart food."
"54293",28,"fit","mostly vegetarian","socially","never","graduated from college/university","white",63.96,NA,"education / academia",2012-07-01 01:43:00,"san francisco, california","doesn't have kids","straight",NA,"christianity and somewhat serious about it","f",NA,"sometimes","english","single","i enjoy life so much. my favorite things are laughing till i cry, seeing the world and great conversation with friends preferably over a din"
"2693",27,"a little extra","mostly anything","socially","sometimes","graduated from college/university","white",60.07,20000,"sales / marketing / biz dev",2012-06-28 10:29:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats","atheism and laughing about it","f","leo and it's fun to think about","no","english (fluently)","single","i'm in love with san francisco (sorry, boys). i like to travel whenever i can, near and far. i'm as happy to go on a day trip or road trip a"
"51559",33,"athletic",NA,"socially","never","graduated from masters program","white",65.92,NA,"student",2012-07-01 00:46:00,"berkeley, california","doesn't have kids","straight",NA,"atheism","f",NA,NA,"english","single","i read books and also do a lot of exercise. historically i have enjoyed beautiful platonic friendships with book-reading types but have ""dat"
"48391",32,NA,NA,"socially",NA,NA,"white",62.81,NA,NA,2012-06-24 21:11:00,"berkeley, california",NA,"gay",NA,"judaism","f","aries","no","english","available","actual sexuality: queer (attracted to a variety of queer genders- femme, genderqueer, trans, +)  actual gender: genderqueer, soft butch  cha"
"25986",25,"athletic","mostly anything","socially",NA,"graduated from college/university","white",66.99,NA,"sales / marketing / biz dev",2012-06-25 13:24:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","agnosticism but not too serious about it","f","aquarius but it doesn't matter","no","english (fluently), spanish (poorly)","single","just checking things off the to-do-in-life list...    somehow i always get asked for my 'fun facts,' so i have compiled a few over time:  - "
"31053",29,"thin",NA,"socially","never",NA,"hispanic / latin, white",58.83,NA,"hospitality / travel",2012-06-30 20:09:00,"berkeley, california","doesn't have kids, and doesn't want any","gay","has dogs and likes cats",NA,"f","gemini and it matters a lot","no","english, sign language","single","i love playing in the sun, reading and drinking red wine. i am always the girl at the bar/park/party with the wine glass and purple teeth. i"
"17881",30,"athletic",NA,"socially","never","graduated from college/university","hispanic / latin",62.84,80000,"medicine / health",2012-06-21 15:28:00,"daly city, california","doesn't have kids","straight","likes dogs","catholicism and somewhat serious about it","f","cancer and it's fun to think about","no","english, spanish","single","i'm a simple girl who wears her heart on her sleeve. i enjoy life through the outdoors ..traveling, dancing, listening to live music, etc.. "
"29852",25,NA,"anything","socially",NA,NA,"white",67.01,NA,"other",2012-03-22 15:31:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats",NA,"f","cancer",NA,"english","single",NA
"56909",29,"skinny","mostly anything","socially","sometimes",NA,"other",64.16,NA,"science / tech / engineering",2012-06-27 21:57:00,"san francisco, california",NA,"straight","likes dogs",NA,"f","leo but it doesn't matter","no","english (fluently), chinese (fluently), malay (fluently)","single","things i like: coming home, lying in bed listening to the rain, innocence, a good mystery, passion, anticipation, music that touches my soul"
"11669",26,"fit",NA,"socially","never","graduated from college/university","white",66.04,NA,"sales / marketing / biz dev",2012-06-24 21:37:00,"palo alto, california",NA,"straight",NA,NA,"f",NA,"no","english","single","i consider myself an east coast girl at heart since my family is from there and i moved all over the place when i was younger. i've been in "
"53310",23,"curvy","mostly anything","socially","sometimes","dropped out of high school","white",56.05,20000,"artistic / musical / writer",2012-02-06 01:15:00,"san carlos, california",NA,"straight","has dogs and has cats",NA,"f","scorpio and it's fun to think about","no","english (poorly)","single","wat up tho! lol, hi i'm jessica, getten ready to hit on 23 years of age and basically looking to spend time with new people, do a lot more l"
"55516",35,"average","mostly anything","socially","never","graduated from college/university","white",62.84,NA,"executive / management",2012-06-15 20:24:00,"san anselmo, california","has a kid","straight","has dogs","agnosticism","f","taurus and it's fun to think about","no","english (fluently), spanish (poorly)","single","fun!"
"23522",33,"thin","anything","socially","never","graduated from college/university","white",61.06,80000,"medicine / health",2012-06-30 10:09:00,"oakland, california","has a kid, and might want more","bisexual","likes dogs and has cats","agnosticism","f","aries and it's fun to think about","no","english (fluently), spanish (poorly), other","single","if i were a musical cake, here is one recipe i could be:    i am a little slipknot mixed with neil diamond. add a little tom petty, ccr, joh"
"1886",37,"fit",NA,"socially","never","graduated from masters program","white",60.02,NA,"other",2012-06-29 23:11:00,"san francisco, california",NA,"straight","likes dogs","judaism","f","gemini","no","english","single","i am so lucky to live in one of the best cities in the us. i have lived in italy and on the east coast but my roots are here in ca. i am int"
"32403",27,"average","mostly anything","socially","never","working on masters program","white",61.12,NA,"artistic / musical / writer",2012-06-30 21:50:00,"san francisco, california","doesn't have kids","straight","has dogs and likes cats","catholicism but not too serious about it","f","capricorn and it's fun to think about","no","english","single","an occasionally introverted media, design and fashion maven who's trying to break out of her physical, mental and virtual shells."
"15004",33,"thin","strictly anything","socially",NA,"working on ph.d program","hispanic / latin",66.8,NA,"science / tech / engineering",2012-05-21 15:16:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","scorpio","sometimes","english (okay), spanish (fluently), french (okay)","single","i'm an alter ego. a pursuer of the person writing these lines, the circumlocution of her mind. but even though i may be just the sub product"
"9850",44,NA,NA,"socially",NA,"college/university","white",66.05,NA,"other",2011-06-27 08:22:00,"san francisco, california","has a kid","straight","likes dogs and has cats",NA,"f","aquarius and it's fun to think about","no","english","seeing someone","update: last night, i was informed by the boy that as of today, we've been dating a year and half. really? already? i feel like i'm just get"
"58728",22,"curvy","mostly anything","socially","never","graduated from college/university","white",62.81,NA,"entertainment / media",2012-06-18 10:18:00,"san francisco, california",NA,"straight","likes cats","atheism and laughing about it","f","cancer and it's fun to think about","no","english (fluently), spanish (poorly), japanese (poorly)","seeing someone","laughs at everything. creative. a bit quirky. techy. nerdy. sarcastic and absolutely awful at being clever on demand."
"8294",24,"curvy","vegetarian","often","sometimes","graduated from college/university","white",64.94,20000,"political / government",2012-06-29 18:45:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs","other and laughing about it","f","leo","sometimes","english, spanish (okay)","single","i will ruin your bad mood."
"16460",44,"fit",NA,NA,"sometimes","graduated from college/university","white",63.81,NA,NA,2012-06-30 12:22:00,"san francisco, california","doesn't have kids","straight","likes dogs and has cats",NA,"f","taurus and it's fun to think about","no","english, french (poorly), german (poorly)","single","one of my favorite phrases these days is ""happiness factor"". i am trying to focus on that on all levels. i embrace being in the 'now.' i am "
"21490",18,"average","strictly anything","socially","sometimes","working on college/university",NA,61.88,1000000,"student",2012-06-30 11:23:00,"san francisco, california","doesn't have kids","bisexual","likes dogs and likes cats","atheism","f","sagittarius","sometimes","english","single","so..    i am mostly looking for smoking buddies. or a sugar daddy lol. i dont think i could ever take someone i met on this site seriously i"
"27337",30,"thin","anything","socially",NA,"graduated from masters program","white",61.08,NA,"other",2012-06-30 19:23:00,"san francisco, california",NA,"straight","has dogs","judaism and somewhat serious about it","f",NA,"no","english (fluently)","single","i think my friends would say i'm open and warm. i'll answer most questions about myself honestly, just because it's not really in my dna to "
"13940",33,NA,NA,"socially",NA,"graduated from college/university",NA,71.95,NA,"other",2011-12-27 18:00:00,"san francisco, california","doesn't want kids","bisexual","likes dogs and dislikes cats",NA,"f",NA,"no","english","available","dancer. pilates instructor. bartender. a bit sassy and frank- impatient and occasionally cuddly. i get gooey over puppies. i'm a weirdo by e"
"10529",25,NA,NA,"socially",NA,"working on masters program","black, white",70.85,NA,"student",2012-06-29 21:32:00,"berkeley, california",NA,"straight","has dogs and has cats",NA,"f","scorpio","sometimes","english","single","let's see... i have lived in berkeley my entire life and i believe the city has majorly affected my view of life. right now, i am living in "
"54395",28,"athletic","mostly anything","socially","never","graduated from college/university","white",67.91,NA,"other",2012-06-29 15:12:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs","other","f","aquarius but it doesn't matter","no","english","single",NA
"47024",45,"thin",NA,"socially",NA,"masters program","white",68,NA,"other",2012-06-29 12:06:00,"oakland, california",NA,"straight","has dogs","agnosticism","f","leo","no","english, japanese (poorly), spanish (okay)","single","there is an anais nin quote about life shrinking or expanding in proportion to one's courage. when i remember to factor it in, the world is "
"24716",28,NA,NA,"socially","never",NA,"indian",62.19,NA,NA,2012-06-30 17:44:00,"san francisco, california","doesn't have kids","straight",NA,NA,"f","cancer","no","english","single","im an easy going girl who loves to just be silly and laugh but sometimes can be wayyyy too serious! all depends on who i'm around and what i"
"31972",53,"full figured","mostly anything","socially","never","graduated from high school","black",63.16,NA,"retired",2012-02-29 11:29:00,"san leandro, california",NA,"straight",NA,"christianity","f",NA,"no","english (fluently)","single","i do my thing and you do yours...... i am not in this world to live up to your expectations, and you are not in this world to live up to min"
"40489",37,"fit","anything","socially",NA,"graduated from masters program","white",64,NA,"medicine / health",2012-05-23 08:53:00,"san francisco, california",NA,"straight",NA,"other but not too serious about it","f","virgo but it doesn't matter","no","english, spanish (okay)","single","i grew up back east and spent time in nyc, boulder, and boston, before finally landing in sf. i work in the biomedical industry and feel for"
"50936",35,"average",NA,"socially","never","graduated from ph.d program","hispanic / latin",67.06,NA,NA,2012-06-28 23:07:00,"san francisco, california","doesn't have kids, but might want them","straight",NA,NA,"f","aquarius and it's fun to think about","no","english (fluently), spanish (poorly)","single","i moved to san francisco not quite 2 years ago for work. time flies, i guess, because i feel like i'm just getting to learn the city! what h"
"9291",33,"fit","anything","socially","never","graduated from college/university","white",64.1,NA,"hospitality / travel",2012-06-30 00:37:00,"san francisco, california",NA,"straight",NA,"catholicism and somewhat serious about it","f","gemini",NA,"english","single","i often randomly break out into song."
"50133",29,NA,NA,"rarely","never","graduated from college/university","white",62.01,NA,"other",2012-06-18 12:12:00,"berkeley, california",NA,"gay",NA,NA,"f","cancer and it's fun to think about","no","english","available","i am a writer. i like babies and old people. arm wrestling and temporary tattoos. i like to prove i can do things when judged that i can't. "
"25207",40,"average","mostly anything","socially","never","working on college/university","white",63.02,20000,"clerical / administrative",2012-06-30 14:07:00,"palo alto, california","doesn't have kids","straight","has dogs","catholicism but not too serious about it","f","cancer","no","english","single","heritage: english,irish,welsh,german and portugese  i am cute,sweet,loyal,submissive,caring,and fun. my friends and family are very importan"
"31494",30,NA,NA,"socially","never","graduated from college/university","white",66.16,NA,"other",2012-06-24 17:27:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","virgo and it's fun to think about","no","english (fluently), german (okay), spanish (poorly)","single","i am looking for an easy going (but motivated) guy who likes to laugh, is comfortable carrying a conversation with people, has fun and has s"
"7847",36,"fit",NA,"socially","never","graduated from college/university","other",66.01,NA,"education / academia",2012-06-19 09:29:00,"oakland, california","has kids","straight","likes dogs","christianity","f",NA,"no","english (poorly), portuguese (fluently)","single","hello! i'm elisama lcia, i am from brazil. i have been studying english for a while but it's a very tricky language. i've heard about this w"
"54394",24,"fit","anything","socially","never","graduated from college/university","white",64.85,NA,"education / academia",2012-06-30 13:53:00,"san francisco, california",NA,"straight",NA,NA,"f","leo but it doesn't matter","no","english (fluently), spanish (okay)","single","i moved to san francisco from the east coast after college for no good reason, other than a cheap plane ticket and a change of pace. that be"
"22864",26,"thin",NA,"socially",NA,"graduated from college/university",NA,68.19,NA,"other",2012-06-26 21:09:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","scorpio and it's fun to think about","no","english","single","well let's see here: born and raised in memphis, i'm an old soul with an honest heart, open mind, and genuine spirit. i am also a glut for a"
"32167",26,"skinny",NA,NA,NA,"working on college/university","hispanic / latin",69,NA,"other",2011-11-09 22:30:00,"walnut creek, california",NA,"straight","has dogs",NA,"f","sagittarius and it's fun to think about",NA,"english","single",NA
"47969",36,"athletic",NA,"socially",NA,"graduated from masters program","white",67.12,NA,"medicine / health",2012-06-28 01:21:00,"berkeley, california","doesn't have kids","straight","has dogs","other and laughing about it","f","libra","no","english","single","i've been told that i'm a catch as i'm a well rounded person. i'd like to think they were not referring to my body (though i do have a great"
"51419",29,"athletic",NA,"socially","never","graduated from college/university","white",70.17,NA,"other",2012-02-28 20:54:00,"oakland, california",NA,"straight","likes dogs","other","f","capricorn","no","english","single","i am a very social person and like to be around alot of people. i hope to continue to travel as much as i can for as long as i can. i love t"
"49317",22,"curvy","mostly anything","socially","never","graduated from college/university","white",67.19,NA,"hospitality / travel",2012-06-29 18:16:00,"berkeley, california","doesn't have kids","straight","likes dogs and likes cats","atheism","f","cancer but it doesn't matter","when drinking","english (fluently), french (okay), japanese (poorly)","single","everything i think to write sounds trite, but basically i'm a quirky and laid-back kind of girl i suppose."
"31829",25,"athletic",NA,"often","sometimes","working on two-year college","white",60.13,50000,"other",2012-06-19 22:09:00,"pleasant hill, california",NA,"gay","likes dogs and likes cats","atheism","f","sagittarius","yes","english","single","seriously?  i don't think you can get a good feel from someone by reading this portion of their profile, i honestly only read the profile if"
"49624",37,"athletic","strictly vegetarian","socially","never","graduated from college/university","white, other",64.81,NA,"hospitality / travel",2012-06-29 19:51:00,"san francisco, california","doesn't have kids","straight","likes dogs","catholicism","f",NA,"no","english","single","i'm a bay area native, grew up in oakland hence my nickname which i received playing softball through grade school and high school. :) i mov"
"46057",31,"fit",NA,"not at all","never","graduated from college/university","white",63.09,NA,"sales / marketing / biz dev",2012-05-28 12:36:00,"san francisco, california",NA,"straight","has cats",NA,"f","cancer","no","english","single","boston born and raised, but have lived in san francisco since i graduated from college. love living in the city, and spend my free time soak"
"36319",33,"average","strictly other","socially","sometimes","graduated from college/university","white",64.89,NA,"artistic / musical / writer",2012-06-14 10:39:00,"san francisco, california",NA,"straight",NA,"agnosticism","f","pisces and it's fun to think about","no","english (fluently), spanish (okay)","single","i love the diversity and pulse of the citybut miss wide-open spaces and smiling at strangers. i'm an avid environmentalistwith a hopeless af"
"47436",25,"curvy","anything","socially","sometimes","graduated from college/university","white",66.17,20000,"hospitality / travel",2012-06-30 22:19:00,"sausalito, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","agnosticism and laughing about it","f","libra and it's fun to think about",NA,"english (fluently), german (fluently)","single","i love bikes and tea a lot. i am very close with my family and i try to spend quality time with them on the regular. i have 2 sisters and 1 "
"56475",30,"average","mostly vegetarian","socially","never","working on masters program","white",68.03,NA,"student",2012-06-25 02:29:00,"san francisco, california",NA,"straight","likes dogs and dislikes cats","catholicism but not too serious about it","f","cancer but it doesn't matter","no","english","single","i come off a little reserved, but i am far from reserved once you know me. i love to laugh and see new places. i am spontaneous and cool. my"
"56082",25,"curvy","mostly vegetarian","socially","never","graduated from college/university","white",64.97,NA,"education / academia",2012-06-25 22:15:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats",NA,"f","scorpio and it's fun to think about","no","english (fluently)","single","adventurous eater, writer, dog fanatic, dancer, and random storyteller."
"5163",26,"curvy",NA,"socially",NA,"graduated from college/university","other",64.85,NA,NA,2012-06-30 02:28:00,"emeryville, california",NA,"straight","likes dogs","other","f","virgo and it's fun to think about","sometimes","english","single","i am originally from so cal, but i have always loved the bay area.    i'm looking for a grown up to hang out with. no boys or crazies (e.g. "
"15638",30,"curvy","vegan","not at all","never","working on college/university",NA,64.88,1000000,"artistic / musical / writer",2012-06-23 14:46:00,"oakland, california","doesn't want kids","bisexual","likes dogs and likes cats","atheism","f","scorpio","no","english","single","i moved up here from la a year and a half ago. i haven't formed a solid opinion about the east bay yet - but i know it's better than la!"
"476",42,"fit",NA,"socially","never","graduated from college/university","asian",67.09,NA,"sales / marketing / biz dev",2012-05-04 14:28:00,"san francisco, california",NA,"straight","likes dogs and likes cats","christianity but not too serious about it","f","leo but it doesn't matter","no","english","single","hi there! i am an attractive gal in search of a good man.  i also love the giants, so message me if you do too!  maybe we can go catch a gam"
"41188",34,"curvy","mostly anything","socially","never","working on college/university","asian",63.17,NA,"student",2012-06-30 23:03:00,"san francisco, california","doesn't have kids, but might want them","straight","has dogs","buddhism but not too serious about it","f","taurus and it's fun to think about","no","english (fluently), vietnamese (okay), french (poorly)","single","okay, here's the deal. i know that this thing is a bit long. i hope it will be somewhat entertaining to those of you who read it all the way"
"30519",26,"fit","vegan","socially","sometimes","graduated from college/university","white",61.97,NA,"artistic / musical / writer",2012-06-30 20:59:00,"berkeley, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","agnosticism","f","capricorn and it's fun to think about","no","english (fluently), spanish (fluently), hebrew (fluently), sign language (okay), italian (poorly)","single","i think i'm on a spiritual, serendipitous path of truth, love and enlightenment. but those words also make me cringe and think, ""fuckin' hip"
"40462",57,"thin","mostly anything","socially","never","graduated from college/university","white",66.11,NA,"artistic / musical / writer",2012-06-29 22:08:00,"san francisco, california",NA,"straight",NA,"other","f",NA,"no","english, spanish (poorly)","single","curious, thoughtful, reader (of lots of things, not just books), physical, sensual, explorer. finding my way. love relationships of all kind"
"21065",40,"full figured","anything","socially","never","graduated from college/university","white",63.03,NA,"sales / marketing / biz dev",2012-02-04 20:33:00,"emeryville, california","doesn't have kids","straight","has dogs","agnosticism and laughing about it","f","aries but it doesn't matter","no","english","single","hi!    i don't know if this is self summary. i'm here to meet new people. perhaps start something exciting. i don't watch much sports--excep"
"11275",25,"fit","mostly anything",NA,NA,"graduated from college/university","white",67.16,NA,"education / academia",2012-06-26 22:07:00,"san francisco, california",NA,"straight",NA,NA,"f","sagittarius",NA,"english, french (poorly)","single","on the hunt for hot dates and friendly folk. yup, i carry a bow and arrow."
"26738",21,"fit","mostly anything","socially","never","working on college/university","white",65.93,NA,NA,2012-05-14 01:27:00,"berkeley, california",NA,"straight","likes dogs and likes cats","agnosticism but not too serious about it","f","pisces","no","english (fluently), french (okay), spanish (okay)","single","i'm a bay area girl who likes adventure, food, snow, random conversations with random people, and being warm on cold nights.  i am passionat"
"23554",20,"average",NA,"very often","sometimes","working on college/university","white",63.11,20000,"student",2011-11-17 18:46:00,"berkeley, california","doesn't want kids","straight","dislikes dogs and likes cats","atheism and laughing about it","f","pisces but it doesn't matter","sometimes","english (fluently)","single","i drink, therefore i am.    goddamn do i really have to type more? shouldn't the other boxes be a good enough ""self-summary?""    i am an obs"
"51684",29,NA,NA,"socially",NA,"graduated from masters program","middle eastern, white, other",63.93,NA,"other",2012-06-29 19:35:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","capricorn but it doesn't matter","no","english (fluently), french (okay)","single","i was born 3 minutes before high noon on december 31st in the year nineteen hundred eighty two. i didn't cry. oh no. not this one. i rubbed "
"10843",25,"fit","strictly anything","socially","never","graduated from masters program","white",65.16,NA,"artistic / musical / writer",2012-06-30 08:07:00,"san francisco, california",NA,"straight","likes dogs and dislikes cats","christianity and somewhat serious about it","f","sagittarius and it's fun to think about","no","english (fluently), italian (poorly), french (okay)","single","hey ya'll. i'm originally from texas, but no, i don't have an accent. i grew up in dallas before going to college in oklahoma (boomer! soone"
"58535",30,NA,"mostly vegetarian","socially","never","graduated from masters program","white",68.12,NA,"medicine / health",2012-06-30 20:14:00,"san francisco, california",NA,"straight",NA,NA,"f","capricorn and it's fun to think about","no","english (fluently), french (okay), swahili (poorly)","single","i'm a nor-cal native and a world traveler. i'm equally happy exploring san francisco or wandering around a foreign city, planning a weekend "
"30716",46,"curvy",NA,"socially",NA,"graduated from college/university","white",64.8,NA,"other",2012-06-30 21:04:00,"san francisco, california",NA,"straight","has dogs","atheism","f","taurus","no","english (fluently), sign language (okay)","single","i'm a ""glass half full"" kind of gal, with an optimistic and upbeat personality. i'm a loving, nurturing, genuine, funny, stable, smart, hone"
"34986",26,"curvy","mostly anything","socially","never","graduated from college/university","white",66.96,NA,"artistic / musical / writer",2012-06-30 19:49:00,"benicia, california",NA,"straight","likes dogs and likes cats","christianity and somewhat serious about it","f","aquarius but it doesn't matter","no","english (fluently)","single","i've found that i, like most people online, am self-critical. so instead of just starting off listing my great qualities, i'll be sharing wi"
"16988",25,"average","strictly anything","socially","never","graduated from college/university","white",69.07,NA,"sales / marketing / biz dev",2012-06-29 19:26:00,"san francisco, california",NA,"straight","has dogs and dislikes cats","agnosticism","f","cancer and it's fun to think about","no","english (fluently), russian (fluently), spanish (okay)","single","i'm a bit of a tomboy and like to hang with the guys - love football, like cars, and am not easily offended. i generally like a guy's guy wh"
"8168",24,NA,NA,"not at all","never","working on college/university","pacific islander",62.93,NA,"student",2012-04-21 19:50:00,"san francisco, california",NA,"straight","has dogs and likes cats","catholicism but not too serious about it","f","taurus but it doesn't matter","no","english (fluently), french (poorly), tagalog (poorly)","available","as previously stated, i am an extremely anti-social person. and just to clarify, no, i am not anti-social in the creepy sense that i sit aro"
"33200",39,NA,"mostly other","rarely","never","graduated from college/university",NA,66.92,NA,NA,2012-06-30 02:17:00,"san francisco, california","doesn't have kids","straight",NA,NA,"f",NA,"no","english","single","many may catch my eye, but only one will catch my heart. i'm a determined, hopeful, generous woman who loves being creative, playful, warm, "
"14311",34,"curvy","mostly vegetarian","not at all","never","graduated from college/university","white",61.85,NA,"other",2012-06-30 09:10:00,"pacifica, california",NA,"straight","likes dogs and likes cats","judaism but not too serious about it","f","virgo but it doesn't matter","no","english (fluently), french (okay)","single","i'm a silly girl with a serious side: an armchair intellectual. a rock star/ poet/ comedian/ actor/ inventor/ maker-of-random-titles who liv"
