name,price,sex,height,color,location,markings,weight,foaldate,registrations,disciplines,temperament
Gulliver,16500,Gelding,18.2,Chestnut,"Coto de Caza, California","Blaze, flaxen mane and tail",,May-96,,Equitation (Trained) Dressage (Trained) Jumper (Competed or Shown) Eventing (Prospect),2.21
Jasper,2750,Gelding,14.988,Sorrel,"warsaw, Ohio",,1050 pounds,6-Jan,,Trail Horse (Trained) Cowboy Mounted Shooting (Prospect),2.211
Shes Genuinely Grand,800,Mare,15.001,Chestnut,"West Plains, Missouri","Star & strip, snip, right fore pastern, left hind sock, right hind stocking",,7-Apr,AQHA - American Quarter Horse Association (4948442),Trail Horse (Prospect) Team Penning (Prospect) Working Cow Horse (Prospect) Western Riding (Prospect) Western Pleasure (Prospect),2.214
Pemm,400,Gelding,14.015,Bay,"Laurel, Delaware",,,Jan-92,,Country Pleasure ,2.215
Gunsmoke Deputy Festus,2200,Stallion,15.016,Black,"jeffersonville , Kentucky",,,11-May,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (21101784),Breeding (Rank Not Applicable) Gaited (Rank Not Applicable) Halter (Rank Not Applicable) Trail Horse (Rank Not Applicable) Youth/4-H Horse (Prospect),2.217
Pirate,3800,Gelding,11.995,Grey,"Coopersburg, Pennsylvania",,,Jan-97,WPCSA - Welsh Pony and Cob Society of America (),Showmanship (Champion) Jumper (Champion) Youth/4-H Horse (Champion) Hunter Under Saddle (Champion) Lesson Horse (Trained),2.218
Show Me The Money Max,10000,Gelding,16.186,Pinto,"Hanover, Pennsylvania",,,Apr-00,APHA - American Paint Horse Association (552946),Western Riding  Lesson Horse  English Pleasure  Trail Horse  Beginner/Family ,2.22
Tess,1500,Mare,15.002,Bay,"Basom, New York","stripe, 2 hind stockings",900 pounds,Jan-00,,Gaited  Trail Horse ,2.221
Hope,5000,Mare,15.313,Chestnut,"West Union, Ohio",White blaze and four white stockings,1000 pounds,4-May,,Barrel Racing (Competed or Shown) Pole Bending (Competed or Shown) Brood Mare (Competed or Shown) Lesson Horse (Competed or Shown) Youth/4-H Horse (Competed or Shown),2.221
Rudy,500,Gelding,16.081,Chestnut,"Greenwich , Connecticut",White blaze,,Apr-00,,Eventing (Prospect) Dressage (Trained) Jumper (Competed or Shown),2.221
Heeza a strange Duck,4000,Gelding,15.99,Sorrel,"san antonio, Texas",,,5-Jun,,Youth/4-H Horse (Competed or Shown) Sidesaddle (Competed or Shown) Pole Bending (Prospect) Drill Team (Competed or Shown) Barrel Racing (Competed or Shown),2.222
REBA,1700,Stallion,15.092,Brown,"Alabama, Alabama",,,Feb-98,,Racing (Champion) Barrel Racing (Trained) Companion Only (Trained) Country Pleasure (Trained) Western Riding (Champion),2.223
Thumper/Simply Irresistible,5500,Gelding,15.316,Chestnut,"Oswego, Illinois",No markings,,Apr-96,,Western Riding (Rank Not Applicable) Trail Horse (Rank Not Applicable) Jumper (Competed or Shown) Hunter (Competed or Shown),2.225
red is on application,150,Gelding,13.016,Dun,"clear lake, Minnesota",,,11-Apr,AQHA - American Quarter Horse Association (),Cutting (Prospect) Reined Cow Horse (Prospect) Beginner/Family (Prospect) Western Riding (Prospect) Working Cow Horse (Prospect),2.226
Magnums Sweet Dream,35000,Mare,14.308,Sorrel,"New Vienna, Ohio","Blaze, dark spot between eyes, no other markings",,7-May,AQHA - American Quarter Horse Association (5007382),Western Riding (Trained) Reining (Competed or Shown),2.226
Foye Boy (Little Bit),4650,Gelding,13.291,Pinto,"Cross Junction, Virginia","Star, 4 White Stockings, white spots on Blue Black Body (GORGEOUS)",750 pounds,3-Apr,SSHBEA- Spotted Saddle Horse Breeders and Exhibitors Association (10302175),Beginner/Family  Endurance Riding (Prospect) Competitive Trail Competitions (Prospect) Lesson Horse (Prospect) Trail Horse (Trained),2.228
Oaks Lectric Gun,25000,Gelding,15.106,Bay,"Payson, Utah",Tobiano,,9-May,APHA - American Paint Horse Association (984262) NRHA National Reining Horse Association (569442),Reining (Competed or Shown),2.228
Lacys Midnight Cruzer,5000,Gelding,13.987,Black,"Advance, North Carolina","Star, strip and snip, left fore hafe pastern white",700 pounds,11-Apr,AQHA - American Quarter Horse Association (4224893),Working Cow Horse (Prospect) Reining (Prospect) Field Hunter (Prospect) Cowboy Mounted Shooting (Prospect) Competitive Trail Competitions (Prospect),2.229
Onxy a True Gem,2500,Mare,17.112,Bay,"Delton, Michigan",none,1300 pounds,Jan-00,,,2.231
MCR Skips Style-Cisco,2500,Gelding,5.189,Grey,"Nebraska CIty, Nebraska",,,3-Apr,,Western Riding (Trained) Trail Horse (Trained) Reined Cow Horse (Trained),2.233
TheCrowdJoesWild,20000,Stallion,15.286,Palomino,"Ocala, Florida","Blaze, LF Sock, RH Sock, LH Sock",1100 pounds,7-Mar,AQHA - American Quarter Horse Association () PHBA - Palomino Horse Breeders of America (),Breeding  Western Pleasure (Show)  Hunter Under Saddle ,2.233
Hocus Flame,7500,Gelding,15.087,Sorrel,"Jefferson, Wisconsin",,,10-Apr,AQHA - American Quarter Horse Association (5298868),Youth/4-H Horse (Prospect) Horsemanship (Trained) Beginner/Family (Prospect) Showmanship (Trained) Western Pleasure (Show) (Trained),2.234
Did I Dance on the Bar,2500,Mare,14.982,Bay,"Eagle, Idaho",Nearly black,1000 pounds,10-Apr,AQHA - American Quarter Horse Association (),Western Pleasure (Show) (Prospect) Hunter Under Saddle (Prospect) Horsemanship (Prospect),2.235
Dun It With Music,4000,Gelding,15.316,Dun,"loganville, Georgia",,,7-May,APHA - American Paint Horse Association (),Beginner/Family (Prospect) Dressage (Prospect) English Pleasure (Competed or Shown) Hunter Under Saddle (Competed or Shown) Lesson Horse (Trained),2.239
Smart Badger Boy,4500,Gelding,15.104,Bay,"Vian, Oklahoma",star,950 pounds,3-Apr,AQHA - American Quarter Horse Association (),Team Penning (Champion) Team Sorting (Competed or Shown) Trail Horse (Competed or Shown) Beginner/Family (Trained),2.243
Feiner Abend Farrah,70000,Mare,15.987,Bay,"Rancho Santa Fe, California",,1200 pounds,3-Mar,AHS - American Hanoverian Society (),Hunter (Competed or Shown) Dressage (Competed or Shown),2.247
Scotland Yard,39000,Gelding,16.01,Chestnut,"Woodstock, Georgia",,,Mar-00,,Dressage (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown),2.248
Vuitton,15000,Gelding,16.202,Grey,"Collierville, Tennessee",,,3-Jan,,Hunter (Competed or Shown) Equitation (Competed or Shown) Dressage (Competed or Shown) Eventing (Prospect) Field Hunter (Prospect),2.25
Roy,950,Gelding,14.297,Sorrel,"Sturgis, Michigan",,,Jan-00,APHA - American Paint Horse Association (),Youth/4-H Horse  Trail Horse ,2.253
Charlie Horse,2500,Gelding,15.102,Black,"Springport, Indiana",,,5-Jun,,Trail Horse ,2.254
Oh To B An Example,15000,Gelding,17.08,Chestnut,"New York, New York","Star, Stripe and Snip. Four Partial Stockings",,Jun-99,ApHC - Appaloosa Horse Club (586539),Youth/4-H Horse (Competed or Shown) Showmanship (Competed or Shown) Hunter Under Saddle (Competed or Shown) Hunter (Champion) Equitation (Champion),2.254
TOYS DANDY DUCHESS,750,Mare,14.297,Dun,"Sulphur, Kentucky",,1000 pounds,8-Apr,AQHA - American Quarter Horse Association (AQHA # 5180703),Breeding (Prospect) Ranch Horse (Prospect) Halter (Prospect) Reined Cow Horse (Prospect),2.255
Skene Crest Carob,2000,Mare,15.283,Bay,"Miamisburg, Ohio",,,Jun-93,IAHA - Half-Arabian Horse Association (AA8477),Hunter (Champion) Dressage (Champion) Eventing (Competed or Shown) Lesson Horse (Champion) Youth/4-H Horse (Champion),2.256
Doc,5000,Gelding,15.093,Buckskin,"Corvallis , Montana",White Blaze,1250 pounds,Apr-00,AQHA - American Quarter Horse Association (),Ranch Horse (Trained) Reined Cow Horse (Trained) Ranch Sorting (Trained) Working Cow Horse (Trained) Trail Horse (Trained),2.258
Royal Sudden Impulse,5500,Gelding,15.19,Chestnut,"Watervliet, Michigan",,,10-Apr,"AQHA - American Quarter Horse Association (5361468) APHA - American Paint Horse Association (998,578)",Western Pleasure (Show) (Prospect) Western Pleasure (Prospect) Showmanship (Prospect) English Pleasure (Prospect) Ranch Horse (Prospect),2.26
Lilly,11000,Mare,16.118,Bay,"Grant, Florida","2 whites, star",1100 pounds,4-May,KWPN - Dutch Warmblood Studbook in North America (),Dressage (Competed or Shown) Breeding (Rank Not Applicable) Beginner/Family (Trained),2.262
King Mac McCue,4500,Gelding,15.199,Palomino,"Buffalo , Minnesota",,,2-Apr,APHA - American Paint Horse Association (680963),Western Pleasure (Competed or Shown) Team Penning (Competed or Shown) Working Cow Horse (Competed or Shown) Trail Horse (Trained) Horsemanship (Competed or Shown),2.263
Brunka from Saga California,5500,Mare,13.203,Brown,"Knoxville, Tennessee",,800 pounds,Jun-93,USIHC (US93200596),Trail Horse  English Pleasure ,2.264
Isaac,2900,Stallion,14.185,Bay,"White Lake, Wisconsin",,,10-Apr,,Beginner/Family (Trained) Longe-Line (Trained) Trail Horse (Trained) Western Riding (Trained) Driving (Prospect),2.264
American Honey aka Honey,10000,Mare,16.283,Chestnut,"Oconomowoc, Wisconsin","white stripe down her face. hind white socks, front left while sock.",1500 pounds,1-Jul,USEF - United States Equestrian Federation (5139783),Dressage (Prospect) Companion Only (Rank Not Applicable) Trail Horse (Prospect) Brood Mare (Rank Not Applicable),2.265
Blossom,280,Mare,14.319,Roan,"Burtonsville, Maryland",,,Jan-99,,Beginner/Family  Lesson Horse  English Pleasure  Trail Horse  Jumper ,2.273
Rocky,500,Gelding,15.097,Bay,"Dewey, Illinois",,,6-Jan,,Trail Horse ,2.274
Scotch,8500,Gelding,16.281,Bay,"Atlantic Highlands, New Jersey",,1500 pounds,6-Aug,,Hunter (Prospect) Jumper (Prospect) Trail Horse (Trained) English Pleasure (Rank Not Applicable) Dressage (Prospect),2.275
Invitations Scotch,5000,Gelding,15.21,Bay,"Williamson, Georgia",bay and white,,7-Jan,,Western Pleasure (Show) (Competed or Shown) Beginner/Family (Champion) Hunter Under Saddle (Trained) Ranch Horse (Prospect) Trail Horse (Champion),2.277
PS Hey Mr Im Hot,12500,Mare,14.982,Chestnut,"Detroit Lakes, Minnesota",2 hind stockings,,10-Apr,AQHA - American Quarter Horse Association (),Horsemanship (Prospect) Western Riding (Prospect) Halter (Champion) Western Pleasure (Show) (Champion),2.278
Dream Big,10000,Gelding,16.092,Bay,"East Sandwich, Massachusetts",small star,,Jan-99,,Hunter (Champion),2.278
Hex,1300,Stallion,14.996,Chestnut,"Sparta, Wisconsin",few spot,200 pounds,13-Mar,ApHC - Appaloosa Horse Club (pending),Youth/4-H Horse (Prospect) Endurance Riding (Prospect) Halter (Prospect) Western Pleasure (Show) (Prospect) Beginner/Family (Prospect),2.28
Dona Bella LHF,12000,Mare,16.002,Bay,"New Tripoli, Pennsylvania","Star, Snip; three white socks",1000 pounds,9-May,RPSI - Rheinland Pfalz-Saar International (Upon Request),Brood Mare (Prospect) Eventing (Prospect) Hunter (Prospect) Dressage (Prospect),2.28
Alota Something,22500,Gelding,17.001,Brown,"Dade City, Florida",,,9-Mar,,Hunter Under Saddle (Competed or Shown) Hunter (Prospect) Dressage (Prospect) Halter (Competed or Shown),2.28
Dewey,200,Gelding,14.288,Bay,"Grove City, Ohio",Tobiano,,Jan-97,,Beginner/Family (Trained) Youth/4-H Horse (Competed or Shown) Barrel Racing (Competed or Shown) Jumper (Competed or Shown) Lesson Horse (Champion),2.282
Calculus,6000,Gelding,16.184,Bay,"Beaver Dam, Wisconsin",,1300 pounds,Jan-00,JC - Jockey Club (),Eventing (Competed or Shown) Jumper (Competed or Shown) Hunter (Competed or Shown) Dressage (Competed or Shown) Beginner/Family (Trained),2.282
Sir Cool Legend (Beau),2500,Gelding,15.286,Bay,"Minooka, Illinois",Star,1200 pounds,7-May,AQHA - American Quarter Horse Association (4969375),Western Pleasure (Show) (Competed or Shown) Youth/4-H Horse (Competed or Shown) Halter (Competed or Shown) Showmanship (Champion) English Pleasure (Trained),2.286
Rockin' Rhythm a.k.a Goober,5000,Gelding,16.117,Bay,"Corryton, Tennessee",Crescent moon on forehead,,Apr-00,,Dressage (Prospect) Eventing (Competed or Shown) Jumper (Competed or Shown) Hunter (Competed or Shown) Lesson Horse (Trained),2.286
Glass View's Honey Talkin,4500,Gelding,13.017,Grey,"Bernville, Pennsylvania","Stripe, Snip, Two Hind Stockings",,8-Apr,,Equitation (Competed or Shown) Eventing (Competed or Shown) Hunter (Competed or Shown),2.289
Midnight Matrix,5000,Gelding,16.009,Black,"New Hartford, Iowa",,1500 pounds,2-Jul,,Dressage (Trained) Longe-Line (Trained),2.289
Jake & Flash,4500,Gelding,17.187,Grey,"Stonewall, Manitoba, Canada",,,1-May,,Driving (Trained),2.29
MEDITERRANEAN DONKEYS,4500,Mare,8.013,Black,"Worden, Montana",,,10-Jun,,,2.291
Redbucks Choice,2500,Mare,13.981,Buckskin,"Geneva, Nebraska",one white hind pastern,,11-May,AQHA - American Quarter Horse Association (5409424),Ranch Horse (Prospect) Calf Roping (Prospect) Country Pleasure (Prospect) Halter (Prospect) Ranch Sorting (Prospect),2.291
Scotch,1800,Gelding,14.982,Cremello,"Springport, Indiana",,,9-Apr,,Gaited  Trail Horse ,2.291
A Boy Named Blue,18000,Gelding,17.102,Black,"Clayton, North Carolina",none,1200 pounds,2-Mar,AQHA - American Quarter Horse Association (x0603161),Jumper (Prospect) Pleasure Driving (Trained) English Pleasure (Competed or Shown) Longe-Line (Champion) Equitation (Competed or Shown),2.291
,0,Gelding,15.093,Chestnut,"Raleigh, North Carolina","White Blaze, three white socks",800 pounds,Apr-95,,Trail Horse  Youth/4-H Horse  Dressage  Beginner/Family ,2.293
Waffles,10000,Gelding,13.116,Bay,"Pataskala, Ohio",four white socks and a blaze,,Apr-00,WPCSA - Welsh Pony and Cob Society of America (39927),Hunter (Champion) Lesson Horse (Champion) Youth/4-H Horse (Champion) Eventing (Trained) Dressage (Trained),2.295
Bonny,800,Mare,13.314,Sorrel,"Siloam Springs, Arkansas",,,5-Apr,,Western Riding (Trained) Draft (Rank Not Applicable) Driving (Prospect),2.295
Zedd,1500,Gelding,6.112,Black,"Birmingham, Alabama",,,7-Aug,,Dressage (Competed or Shown),2.296
India,5500,Mare,6,Black,"Maricopa, California",none,,12-Mar,,Halter (Trained) Harness (Prospect) Beginner/Family (Trained),2.298
Burbury,1700,Mare,15.089,Bay,"Sarasota, Florida",,850 pounds,7-May,,Trail Horse ,2.302
Forever Young,4500,Gelding,15.981,Dun,"Mont Vernon, New Hampshire","stripe, snip, 4 socks",,2-Apr,,Hunter Under Saddle (Champion) Hunter (Competed or Shown) Judged Pleasure Rides (Competed or Shown),2.302
Ice Coaled Te,3200,Gelding,15.298,Black,"Williamstown, New Jersey",star and strip,1300 pounds,9-Jan,AQHA - American Quarter Horse Association (),Youth/4-H Horse (Prospect) Western Pleasure (Prospect) Country Pleasure (Prospect) Beginner/Family (Prospect) Halter (Prospect),2.303
Wind Him Up,13500,Gelding,15.111,Sorrel,"Plaistow, New Hampshire",White blaze and white sock,1000 pounds,Mar-99,AQHA - American Quarter Horse Association () NRHA - National Reining Horse Association (),Reining (Champion) Western Riding (Competed or Shown) Youth/4-H Horse (Trained) Trail Horse  Beginner/Family ,2.304
Sonny,1000,Gelding,14.192,Bay,"Carbondale, Kansas",,,1-Jan,,Youth/4-H Horse (Prospect) Trail Horse (Trained) Lesson Horse (Prospect) Eventing (Prospect) Beginner/Family (Trained),2.308
Slim,7000,Gelding,15.298,Bay,"Jamul, California",white stripe and left rear pastern,1000 pounds,4-May,,Barrel Racing (Competed or Shown) Ranch Sorting (Competed or Shown) Trail Horse (Champion) Pole Bending (Trained) Ranch Horse (Trained),2.308
Barnaby,11999,Gelding,15.311,Grey,"aiken, South Carolina",splotch on neck,,5-Jan,,Field Hunter (Trained) Eventing (Trained) Trail Horse (Trained) Dressage (Champion),2.311
General Gilbert,2000,Gelding,15.308,Bay,"Lucama, North Carolina",,1200 pounds,Jun-99,,Jumper (Champion) Trail Horse (Trained) Eventing (Prospect) Beginner/Family (Trained) Hunter (Prospect),2.313
Sonny,500,Gelding,16.013,Roan,"Clinton, Pennsylvania",small star,,4-Mar,AQHA - American Quarter Horse Association (),Youth/4-H Horse (Prospect) Trail Horse (Trained),2.314
CDF Frankie goes To Hollywood,8000,Stallion,13.286,Black,"Fountain, Michigan","Blaze, two white hind feet",,5-Apr,Gypsy Horse Registry of America (A100000184),Pleasure Driving  Driving  Trail Horse  Breeding ,2.318
Hammer,5000,Gelding,15.017,Dun,"Elk River, Minnesota","Red Dun, striping on legs, beautiful feathering on legs, magnificent tail",1100 pounds,7-Apr,,Eventing (Prospect) Pleasure Driving (Trained) Trail Horse (Trained) English Pleasure (Trained) Western Pleasure (Show) (Competed or Shown),2.318
LOUISIANA MUD BUG,14000,Mare,15.99,Bay,"slidell, Louisiana","white sock right rear, white stripe on face",1000 pounds,2-Jan,USEF - United States Equestrian Federation (),Brood Mare (Rank Not Applicable) Hunter (Competed or Shown) Equitation (Competed or Shown) Jumper (Competed or Shown) Lesson Horse (Trained),2.318
,12000,Stallion,16.197,Sorrel,"ripley, West Virginia",,,10-Feb,,Halter  Hunter Under Saddle ,2.318
Texas Pete,3250,Gelding,14.996,Black,"Tullahoma, Tennessee",Grey,,9-May,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (20902740),,2.319
Lf Skip'n Town,3000,Mare,15.099,Bay,"Harrison, Michigan",Solid Dark Bay,,1-Apr,ApHC - Appaloosa Horse Club (),Breeding (Rank Not Applicable) Western Pleasure (Show) (Competed or Shown) Trail Horse (Trained) Showmanship (Competed or Shown),2.32
COWGIRL,5500,Mare,14.187,Buckskin,"Stockton, California",,1050 pounds,8-Apr,AQHA - American Quarter Horse Association (5274373),Team Roping (Champion) Barrel Racing (Trained) Ranch Horse (Rank Not Applicable) Pole Bending (Trained) Calf Roping (Prospect),2.321
Avery,20000,Gelding,15.284,Bay,"Quakertown, Pennsylvania",,,3-Jan,USEF - United States Equestrian Federation (),Dressage (Trained) Hunter (Competed or Shown),2.322
SARENA H,35000,Mare,6.099,Black,"Arlington, Washington",White sock,,2-Apr,,Dressage (Trained),2.326
Chalk Talk,2500,Gelding,15.983,Chestnut,"Charles City, Virginia",White nose,,3-Mar,,Field Hunter (Trained) Trail Horse (Trained) Beginner/Family (Trained) Youth/4-H Horse (Prospect),2.327
Meya Little Trouble Jazz,4500,Mare,14.208,Dun,"WEATHERFORD, Texas",,,8-May,APHA - American Paint Horse Association (933311),Reining (Trained) Hunter (Prospect) English Pleasure (Prospect) Reined Cow Horse (Prospect) Ranch Sorting (Prospect),2.329
GUARDING TESS #3700088,4500,Mare,14.297,Buckskin,"PENSACOLA, Florida",,1200 pounds,May-98,AQHA - American Quarter Horse Association (3705367),Barrel Racing (Competed or Shown) Trail Horse (Competed or Shown) Pole Bending (Competed or Shown) Ranch Horse (Competed or Shown),2.33
Bucky,2500,Gelding,15.018,Buckskin,"Du Quoin, Illinois",,,Jan-94,AQHA - American Quarter Horse Association (),Team Roping (Competed or Shown) Ranch Horse (Trained) Beginner/Family (Trained) Trail Horse (Trained),2.335
Jess,5000,Mare,15.999,Black,"Enfield NH, New Hampshire",Star on forehead,,5-Jan,,Beginner/Family (Trained) Driving (Trained) Lesson Horse  Trail Horse ,2.335
Prunella,500,Mare,14.204,Grey,"Des Allemands, Louisiana",,1000 pounds,10-Mar,,Western Pleasure (Prospect) Youth/4-H Horse (Prospect),2.337
Famous Dance,18000,Gelding,16.18,Pinto,"Tallahassee, Florida",,,8-Jun,PtHA - Pinto Horse Association of America () RPSI - Rheinland Pfalz-Saar International (),Hunter (Competed or Shown) Eventing (Prospect) Field Hunter (Prospect),2.337
Smartys Sonscoot,5500,Gelding,14.103,Brown,"Dallas, Texas",,1000 pounds,9-Feb,AQHA - American Quarter Horse Association (5221715),Team Sorting (Competed or Shown) Barrel Racing (Trained) Ranch Sorting (Trained) Team Penning (Trained) Trail Horse (Trained),2.34
Espinoza,1800,Mare,14.282,Palomino,"Waynesburg, Kentucky",,,10-Jun,,Dressage (Prospect) Trail Horse (Prospect) Field Hunter (Prospect) Youth/4-H Horse (Prospect) Breeding (Prospect),2.342
"Rahaella, a.k.a. Ella",12000,Mare,16.199,Bay,"Innisfil, Ontario, Canada",,1200 pounds,10-May,CSHA - Canadian Sport Horse Association (),Breeding (Prospect) Eventing (Prospect) Dressage (Prospect) Hunter (Prospect) Jumper (Prospect),2.344
"Getter Dun, Duncan",2500,Gelding,13.992,Buckskin,"Wimauma, Florida",snip and 2 socks,800 pounds,9-Jan,,Beginner/Family (Trained) Dressage (Prospect) Hunter (Competed or Shown) Lesson Horse (Trained) Pleasure Driving (Prospect),2.349
Reace,2500,Mare,15.202,Bay,"Mansfield, Connecticut",,,6-Jan,,Jumper (Champion) Eventing (Trained) Youth/4-H Horse (Prospect) Endurance Riding (Trained) Competitive Trail Competitions (Trained),2.349
Shorty,1000,Gelding,13.209,Bay,"Prentice, Wisconsin",,,Jan-98,,Trail Horse (Trained),2.35
moose,400,Gelding,13.981,Pinto,"calverton, New York",brown and white,850 pounds,May-96,,Trail Horse ,2.35
Shez Sleepin Around,15000,Mare,15.205,Sorrel,"parkton, Maryland",,,8-Apr,AQHA - American Quarter Horse Association (),Breeding  Trail Horse  Western Pleasure (Show)  Horsemanship ,2.354
Love N San Marcos,1500,Mare,15.115,Grulla,"Burnet, Texas",,1200 pounds,4-Mar,APHA - American Paint Horse Association (773300) AQHA - American Quarter Horse Association (4486713),Brood Mare (Competed or Shown),2.358
Maximum Zan Parr,4500,Stallion,15.198,Black,"Fitzhugh, Oklahoma",solid,,2-Apr,AQHA - American Quarter Horse Association (4211815),Breeding (Trained) Trail Horse (Trained) Halter (Competed or Shown),2.36
CF Shamelessdreamaker (Junior),14000,Gelding,15.281,Sorrel,"Gainesville, Georgia",,,5-Apr,"APHA - American Paint Horse Association (829,147)",Western Pleasure (Show) (Champion) Horsemanship (Champion) English Pleasure (Competed or Shown) Equitation (Competed or Shown) Competitive Trail Competitions (Champion),2.362
Lady in Red,4000,Mare,15.982,Chestnut,"Adel, Iowa",blaze and 2 pasterns white,,10-Jul,ATA - American Trakehner Association (pending),Hunter  Jumper  Eventing  Dressage  Field Hunter ,2.363
Wrangler,2800,Gelding,15.083,Bay,"Lucama, North Carolina",star hind socks,1000 pounds,2-Jun,,Dressage (Trained) Beginner/Family (Trained) Eventing (Prospect) Trail Horse (Trained) Hunter (Prospect),2.365
PF Sweet Caroline,20000,Mare,15.997,Bay,"New Paltz, New York",Dark Bay w/ Chrome!,,8-Jun,AWS - American Warmblood Society (eligible),Hunter (Trained) Dressage (Trained) Equitation (Trained) Jumper (Trained) Trail Horse (Champion),2.366
sea coaster,500,Mare,15.281,Chestnut,"burlington, New Jersey","white blaze, 3 white socks",,1-Jan,,Brood Mare (Rank Not Applicable),2.371
Blue Dude Illuminator,1800,Gelding,14.311,Grey,"Park Hill, Oklahoma",none,1050 pounds,9-May,AQHA - American Quarter Horse Association (5181275),Barrel Racing (Prospect) Team Roping (Prospect) Ranch Horse (Prospect) Trail Horse (Trained) Calf Roping (Prospect),2.372
Watch Me Now,16000,Gelding,16.186,Bay,"Alpharetta, Georgia",,1200 pounds,6-Mar,JC - Jockey Club (),Hunter (Competed or Shown),2.372
MS Malachai,12000,Stallion,13.283,Bay,"Hendersonville, North Carolina",Star,500 pounds,12-May,BWP (),Eventing (Prospect) Jumper (Prospect) Dressage (Prospect) Hunter (Prospect),2.374
To The Front Max,200,Gelding,15.212,Chestnut,"Wrentham, Massachusetts",,,2-Mar,JC - Jockey Club (),Eventing (Trained) Jumper (Trained) Hunter (Competed or Shown),2.384
Urama *Fence Dancers Sport Horse Farm*,175000,Mare,17.091,Bay,"Pilesgrove, New Jersey",4 white socks,,2-Feb,KWPN - Dutch Warmblood Studbook in North America () KWPN Dutch warmblood studbook in the Neatherlands (),Dressage (Champion) Equitation (Champion) Jumper (Champion),2.387
Choose Heaven,10000,Gelding,14.299,Roan,"Seguin, Texas",,,8-Mar,,Cutting  Calf Roping  Barrel Racing  Pole Bending  Ranch Horse ,2.389
Red Cherry Chip,4700,Mare,15.207,Roan,"Geneva, Nebraska",small star,,6-Apr,AQHA - American Quarter Horse Association (4773789),Western Pleasure (Show) (Competed or Shown) Youth/4-H Horse (Competed or Shown) Trail Horse (Competed or Shown) Horsemanship (Competed or Shown) Showmanship (Competed or Shown),2.392
Zuess,2950,Gelding,14.091,Bay,"Glendale, Arizona",,1150 pounds,Jan-00,,Competitive Trail Competitions (Trained) Ranch Horse (Trained) Trail Horse (Trained) Lesson Horse (Trained) Beginner/Family (Trained),2.394
Tye,4000,Gelding,15.218,Buckskin,"Milton, Ontario, Canada",,,1-Jun,,English Pleasure  Trail Horse  Western Pleasure  Youth/4-H Horse  Country Pleasure ,2.395
Diaman H Lucky Joel,1950,Gelding,14.982,Bay,"New Virginia, Iowa",4 socks,1000 pounds,10-May,AQHA - American Quarter Horse Association (X00690623),Youth/4-H Horse (Prospect) Ranch Horse (Prospect) Calf Roping (Prospect) Barrel Racing (Prospect) Trail Horse (Trained),3
REGALO DE DIOS,6500,Gelding,14.28,Chestnut,"el prado, New Mexico",snip and 3 socks,,7-Jul,North American Peruvian Paso Assoc (24487),Competitive Trail Competitions (Prospect) Trail Horse (Trained) Gaited (Trained) Horsemanship (Trained),3.002
Sunny,800,Mare,15.013,Palomino,"Corvallis, Montana","Star, strip, snip; white right hind sock.",1000 pounds,May-00,AQHA - American Quarter Horse Association (4020407),Brood Mare  Western Pleasure (Prospect),3.003
Fancy Little Slick,7500,Gelding,14.984,Grey,"Dallas, Texas",,1000 pounds,8-Apr,AQHA - American Quarter Horse Association (),Trail Horse (Trained) Barrel Racing (Prospect) Team Penning (Trained) Team Sorting (Trained) Cutting (Trained),3.01
Charlotte,1000,Mare,15.002,Chestnut,"chino, California",2 socks & a blaze,,Jan-95,,Lesson Horse (Trained) Western Riding (Trained) Jumper (Trained),3.01
Vistosa,8500,Mare,16.004,Bay,"Madison, Virginia",star,1300 pounds,4-Apr,IALHA - International Andalusian & Lusitano Horse Association (),Lesson Horse (Trained) Dressage (Competed or Shown) Field Hunter (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown),3.011
Grandiz,20000,Gelding,16.316,Chestnut,"Watertown, Minnesota","Blaze, RH Sock",,11-Jun,KWPN - Dutch Warmblood Studbook in North America () USEF - United States Equestrian Federation (),Dressage (Prospect) Jumper (Prospect),3.012
SSH Williamstown,25000,Gelding,15.988,Bay,"West Palm Beach, Florida",White Snip,1200 pounds,4-May,USEF - United States Equestrian Federation (),Hunter (Champion),3.016
ACADIA,2500,Mare,13.105,White,"amesbury, Massachusetts",none,930 pounds,2-Jun,,Trail Horse (Trained) Driving (Trained) English Pleasure (Trained),3.017
Ima Smart QT,5000,Stallion,15,Bay,"Aurelia, North Dakota",Bay Tobiano,1200 pounds,3-Jan,APHA - American Paint Horse Association (),Cutting (Trained) Working Cow Horse  Ranch Horse  Ranch Sorting  Reining ,3.017
Hidden Conquest Lance,2000,Gelding,16.016,Chestnut,"Tallahassee, Florida",white flecks for a star,,7-May,JC - Jockey Club (0739054),Equitation (Prospect) Eventing (Prospect) Hunter (Competed or Shown),3.017
Stetson,5000,Gelding,15.007,Grey,"Powell, Wyoming",,1100 pounds,6-Apr,,Western Pleasure (Show) (Competed or Shown) Ranch Horse (Trained) Trail Horse (Trained) Calf Roping (Trained) Reining (Competed or Shown),3.02
